Trust_Code;Trust_Name;Expected;Final;Completion;Cleaned;Service_User_Survey;Therapist Questionnaire;18-25;26-35;36-45;46-55;56-65;>65;Male;Female;Nonbinary_other;Unknown_not_documented;White;Mixed;Asian;Black;Other;Ethnicity_Unknown;Declined;Employed_less_than_16 hrs;Employed_16+;Homemaker;Long_term_sick;No_benefits_or_work;Retired;Student;Unemployed_seeking work;Unpaid_voluntary;Declined4;Employment_Unknown;Mainstream_housing;Criminal_Justice;Housing_with_mental_health ;Other_care_support;Acute_long stay;Homeless;Sheltered;Other5;Declined_to_answer;Accom_Unknown_not doc;Sexual_orientation_recorded;Heterosexual;Gay_lesbian;Bisexual;Other;Sexual_orien_Unknown_not_documented;Sexual Orien Declined to answer;Behavioural and emotional disability;Progressive conditions and physical health ;Mobility and gross motor disability ;Memory, ability to learn, concentrate or understand;Personal, self-care and continence;Hearing_disability;Sight_disability ;Manual dexterity;Perception_of_physical_danger;Speech_disability ;Other;Bipolar_problem;BDD_problem;Depression_problem;Eating_disorder_problem;GAD;Mixed a&D_problem;OCD_problem;PanicDisorder_problem;PD_problem;PTSD_problem;Specific_phobia_problem;Socialphob_problem;Other Anx_problem;Otherdiag_problem;Unknown_problem;Depressive_episode (F32);"Recurrent depressive disorder (F33); persistent mood [affective] disorders (F34); other mood [affective] disorders (F38, F39)";"Phobic_anxiety disorders (F40); other anxiety disorders (F41); obsessive-compulsive disorder (F42)";Reaction_to_severe_stress_and_adjustment_disordersF43;Disorders of adult personality and behaviour (F60-69)?;Behavioural syndromes associated with physiological disturbances and physical factors (F50 - F59)   ?;Mental and behavioural disorders due to psychoactive substance use (F10-F19)   ?;Bipolar_disorderF31;Other diagnoses not listed above     ?;Unknown/ not documented;Age not doc;Gender not doc;Ethnicity not doc;Accommodation not doc;Employment not doc;Disability not doc;Sexual orientation not doc;Started therapy within 18 weeks;Started therapy btw 19-26 weeks;Started therapy btw 27-52 weeks;Started therapy btw 53-104 weeks;Started therapy 105 weeks plus;% above 18 weeks;Avg wait for therapy (days);;into weeks;% Agree wait time reasonable;% disagree wait time reasonable;% Receiving NICE therapy ;Avg number of sessions;% Agree enough info about therapy;% Disagree enough info about therapy;% Agree where info is kept;% disagreewhere info is kept;Choice Type of therapy  ;Not enough  choice;No choice;Choice venue of therapy;Not enough  choice venue;No choice venue;Choice gender of therapist;Not enough choice gender;No choice gender;Choice of language therapy;Not enough choice language;No choice  language;Appt convenient day/time Agree;Appt convenient day/time Disagree;Appt location difficulty Agree;Appt location difficulty Disagree;Referred therapy right time Agree;Referred therapy right time disagree;Experience empathy Agree;Experience empathy Disagree;Needs taken seriously Agree;Needs taken seriously Disagree;Agreed goals Agree ;Agreed goals Disagree;Discussed previous therapy Agree;Discussed previous therapy Disagree;Discussed overall care Agree;Discussed overall care Disagree;Helped understand difficulties Agree;Helped understand difficulties Disagree;Helped cope with diffculties Agree;Helped cope with diffculties Disagree;Therapy right kind of help Agree;Therapy right kind of help Disagree;Right no. sessions Agreed;Right no. sessions Disagree;Lasting_bad_effects_Agree;Lasting_bad_effect_Disagree;Outcome_measure_used_at_least_once;Outcome measure used more than once;Discussed_progress_with_therapist;Didn’t discuss progress during treatment;therapist agrees supervision received is sufficient;therapist supervises other therapists;therapist trained to supervise others;therapists recieiving individual supervision;therapists receiving group supervision;therapists receiving both supervision;therapists receiving no supervision;therapist1+ therapy type no formal training;therapist_agreeing_that_cpd_is_sufficient
RRP;BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST;90;89;99%;88;5;41;10% (9/88);23% (20/88);16% (14/88);10% (9/88);8% (7/88);33% (29/88);33% (29/88);67% (59/88);0% (0/88);0% (0/88);80% (70/88);5% (4/88);3% (3/88);6% (5/88);7% (6/88);0% (0/88);0% (0/88);2% (2/88);10% (9/88);2% (2/88);24% (21/88);3% (3/88);30% (26/88);2% (2/88);9% (8/88);1% (1/88);0% (0/88);16% (14/88);77% (68/88);0% (0/88);1% (1/88);0% (0/88);0% (0/88);1% (1/88);0% (0/88);5% (4/88);0% (0/88);16% (14/88);57% (50/88);55% (48/88);1% (1/88);1% (1/88);0% (0/88);43% (38/88);0% (0/88);14% (9/64);13% (8/64);2% (1/64);3% (2/64);2% (1/64);0% (0/64);2% (1/64);0% (0/64);0% (0/64);0% (0/64);3% (2/64);0% (0/88);0% (0/88);25% (22/88);1% (1/88);10% (9/88);28% (25/88);8% (7/88);2% (2/88);6% (5/88);10% (9/88);0% (1/88);1% (1/88);5% (4/88);2% (2/88);1% (1/88);19% (16/86);13% (11/86);38% (33/86);14% (12/86);11% (9/86);0% (0/86);0% (0/86);2% (2/86);4% (3/86);2% (2/88);0% (0/88);0% (0/88);0% (0/88);16% (14/88);16% (14/88);52% (46/88);43% (38/88);24% (21/87);14% (12/87);26% (23/87);28% (24/87);8% (7/87);76% (66/87);337;48;48 weeks;0% (0/3);100% (3/3);86% (43/50);18;0% (0/3);67% (2/3);33% (1/3);33% (1/3);0% (0/2);0% (0/2);100% (2/2);100% (1/1);0% (0/1);0% (0/1);0% (0/0);0% (0/0);0% (0/0);0% (0/0);0% (0/0);0% (0/0);67% (2/3);0% (0/3);100% (3/3);0% (0/3);67% (2/3);0% (0/3);100% (2/2);0% (0/2);67% (2/3);0% (0/3);33% (1/3);0% (0/3);67% (2/3);0% (0/3);0% (0/3);67% (2/3);67% (2/3);33% (1/3);67% (2/3);0% (0/3);33% (1/3);33% (1/3);33% (1/3);0% (0/3);0% (0/3);100% (3/3);48% (42/88);15% (13/88);33% (1/3);0% (0/3);85% (33/39);66% (27/41);89% (24/27);44% (18/41);2% (1/41);49% (20/41);5% (2/41);37% (15/41);58% (22/38)
RT1;CAMBRIDGE AND PETERBOROUGH NHS FOUNDATION TRUST;129;103;80%;101;10;24;17% (17/101);13% (13/101);23% (23/101);13% (13/101);7% (7/101);28% (28/101);31% (31/101);69% (70/101);0% (0/101);0% (0/101);93% (94/101);2% (2/101);1% (1/101);0% (0/101);1% (1/101);2% (2/101);1% (1/101);5% (5/101);9% (9/101);3% (3/101);29% (29/101);3% (3/101);28% (28/101);7% (7/101);3% (3/101);2% (2/101);0% (0/101);12% (12/101);84% (85/101);0% (0/101);0% (0/101);3% (3/101);0% (0/101);0% (0/101);2% (2/101);0% (0/101);0% (0/101);11% (11/101);59% (60/101);55% (56/101);3% (3/101);1% (1/101);0% (0/101);41% (41/101);0% (0/101);45% (34/76);28% (21/76);8% (6/76);0% (0/76);0% (0/76);3% (2/76);1% (1/76);0% (0/76);0% (0/76);0% (0/76);0% (0/76);4% (4/101);0% (0/101);26% (26/101);0% (0/101);4% (4/101);17% (17/101);6% (6/101);2% (2/101);11% (11/101);11% (11/101);0% (0/101);0% (0/101);6% (6/101);14% (14/101);0% (0/101);22% (21/97);12% (12/97);26% (25/97);11% (11/97);14% (14/97);0% (0/97);0% (0/97);7% (7/97);7% (7/97);4% (4/101);0% (0/101);0% (0/101);2% (2/101);11% (11/101);12% (12/101);20% (20/101);41% (41/101);74% (72/98);7% (7/98);16% (16/98);2% (2/98);1% (1/98);27% (26/98);105;15;15 weeks;100% (10/10);0% (0/10);80% (39/49);12,53;100% (10/10);0% (0/10);70% (7/10);30% (3/10);67% (4/6);0% (0/6);33% (2/6);50% (3/6);0% (0/6);50% (3/6);50% (1/2);0% (0/2);50% (1/2);0% (0/0);0% (0/0);0% (0/0);100% (10/10);0% (0/10);100% (10/10);0% (0/10);90% (9/10);0% (0/10);100% (10/10);0% (0/10);90% (9/10);0% (0/10);100% (10/10);0% (0/10);100% (10/10);0% (0/10);70% (7/10);0% (0/10);90% (9/10);0% (0/10);90% (9/10);10% (1/10);90% (9/10);10% (1/10);90% (9/10);10% (1/10);20% (2/10);70% (7/10);67% (66/99);51% (51/101);100% (10/10);0% (0/10);100% (21/21);46% (11/24);100% (11/11);58% (14/24);0% (0/24);42% (10/24);0% (0/24);29% (7/24);81% (17/21)
RT2;PENNINE CARE NHS FOUNDATION TRUST;297;296;99%;290;54;40;9% (26/290);19% (55/290);20% (57/290);24% (70/290);11% (31/290);18% (51/290);33% (96/290);67% (194/290);0% (0/290);0% (0/290);82% (239/290);2% (5/290);6% (16/290);0% (0/290);1% (3/290);9% (26/290);0% (1/290);2% (6/290);6% (17/290);3% (8/290);19% (56/290);1% (4/290);12% (36/290);0% (1/290);9% (26/290);0% (0/290);0% (1/290);47% (135/290);59% (171/290);0% (0/290);1% (3/290);2% (6/290);0% (0/290);0% (0/290);1% (4/290);0% (1/290);0% (0/290);36% (105/290);23% (68/290);22% (65/290);1% (2/290);0% (0/290);0% (1/290);77% (222/290);0% (0/290);19% (47/250);13% (32/250);4% (10/250);6% (14/250);2% (5/250);1% (3/250);1% (3/250);1% (3/250);2% (5/250);0% (0/250);6% (15/250);2% (7/290);0% (0/290);10% (28/290);0% (1/290);3% (10/290);11% (33/290);1% (3/290);1% (4/290);24% (69/290);3% (10/290);0% (0/290);0% (0/290);1% (4/290);22% (63/290);20% (58/290);11% (23/214);7% (14/214);21% (44/214);6% (13/214);35% (75/214);0% (0/214);1% (2/214);13% (27/214);8% (16/214);26% (76/290);0% (0/290);0% (0/290);9% (26/290);36% (105/290);47% (135/290);54% (157/290);77% (222/290);33% (62/187);19% (35/187);34% (63/187);13% (25/187);1% (2/187);67% (125/187);218;31;31 weeks;49% (25/51);35% (18/51);60% (33/55);11,62;48% (24/50);38% (19/50);58% (30/52);21% (11/52);45% (17/38);16% (6/38);40% (15/38);53% (20/38);18% (7/38);29% (11/38);29% (6/21);24% (5/21);48% (10/21);33% (1/3);0% (0/3);67% (2/3);83% (45/54);11% (6/54);77% (41/53);15% (8/53);64% (33/52);25% (13/52);81% (43/53);13% (7/53);73% (38/52);19% (10/52);67% (35/52);19% (10/52);73% (38/52);13.5% (7/52);57% (29/51);24% (12/51);65% (34/52);21% (11/52);62% (32/52);25% (13/52);71% (37/52);19% (10/52);47% (25/53);36% (19/53);26% (13/51);61% (31/51);57% (165/290);33% (96/290);69% (36/52);21% (11/52);95% (37/39);63% (25/40);84% (21/25);65% (26/40);8% (3/40);28% (11/40);0% (0/40);35% (14/40);50% (19/38)
RTQ;2GETHER NHS FOUNDATION TRUST;60;60;100%;56;11;23;5% (3/56);13% (7/56);11% (6/56);14% (8/56);7% (4/56);50% (28/56);27% (15/56);71% (40/56);2% (1/56);0% (0/56);98% (55/56);0% (0/56);0% (0/56);0% (0/56);0% (0/56);2% (1/56);0% (0/56);9% (5/56);4% (2/56);0% (0/56);16% (9/56);4% (2/56);46% (26/56);2% (1/56);0% (0/56);2% (1/56);0% (0/56);18% (10/56);79% (44/56);0% (0/56);0% (0/56);5% (3/56);0% (0/56);0% (0/56);2% (1/56);0% (0/56);0% (0/56);14% (8/56);80% (45/56);75% (42/56);4% (2/56);0% (0/56);2% (1/56);18% (10/56);2% (1/56);28% (10/36);14% (5/36);19% (7/36);0% (0/36);3% (1/36);0% (0/36);0% (0/36);3% (1/36);3% (1/36);0% (0/36);3% (1/36);4% (2/56);0% (0/56);14% (8/56);0% (0/56);13% (7/56);25% (14/56);4% (2/56);2% (1/56);18% (10/56);2% (1/56);0% (0/56);0% (0/56);5% (3/56);11% (6/56);4% (2/56);16% (9/55);15% (8/55);38% (21/55);4% (2/55);22% (12/55);0% (0/55);0% (0/55);4% (2/55);2% (1/55);2% (1/56);0% (0/56);0% (0/56);2% (1/56);14% (8/56);18% (10/56);27% (15/56);18% (10/56);94% (47/50);2% (1/50);0% (0/50);2% (1/50);2% (1/50);6% (3/50);81;12;12 weeks;91% (10/11);0% (0/11);79% (15/19);12,86;82% (9/11);9% (1/11);64% (7/11);18% (2/11);83% (5/6);17% (1/6);0% (0/6);67% (4/6);17% (1/6);17% (1/6);33% (1/3);33% (1/3);33% (1/3);0% (0/1);0% (0/1);100% (1/1);100% (11/11);0% (0/11);100% (11/11);0% (0/11);100% (11/11);0% (0/11);100% (11/11);0% (0/11);100% (11/11);0% (0/11);82% (9/11);0% (0/11);73% (8/11);0% (0/11);82% (9/11);0% (0/11);100% (10/10);0% (0/10);100% (11/11);0% (0/11);100% (10/10);0% (0/10);90% (9/10);10% (1/10);27% (3/11);73% (8/11);18% (10/56);13% (7/56);90% (9/10);10% (1/10);100% (23/23);78% (18/23);94% (17/18);35% (8/23);9% (2/23);57% (13/23);0% (0/23);44% (10/23);83% (19/23)
RTV;NORTH WEST BOROUGHS HEALTHCARE NHS FOUNDATION TRUST;30;30;100%;30;0;12;27% (8/30);17% (5/30);23% (7/30);20% (6/30);3% (1/30);10% (3/30);23% (7/30);73% (22/30);0% (0/30);3% (3/30);100% (30/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);3% (1/30);3% (1/30);53% (16/30);0% (0/30);10% (3/30);7% (2/30);3% (1/30);0% (0/30);0% (0/30);20% (6/30);77% (23/30);0% (0/30);3% (1/30);0% (0/30);3% (1/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);17% (5/30);73% (22/30);67% (20/30);3% (1/30);3% (1/30);0% (0/30);27% (8/30);0% (0/30);22% (5/23);4% (1/23);0% (0/23);0% (0/23);0% (0/23);0% (0/23);0% (0/23);0% (0/23);9% (2/23);0% (0/23);4% (1/23);3% (1/30);0% (0/30);10% (3/30);0% (0/30);3% (1/30);17% (5/30);7% (2/30);0% (0/30);23% (7/30);7% (2/30);0% (0/30);0% (0/30);3% (1/30);20% (6/30);7% (2/30);11% (3/28);7% (2/28);29% (8/28);4% (1/28);39% (11/28);0% (0/28);0% (0/28);11% (3/28);0% (0/28);7% (2/30);0% (0/30);3% (3/30);0% (0/30);17% (5/30);20% (6/30);57% (17/30);27% (8/30);37% (11/30);27% (8/30);27% (8/30);10% (3/30);0% (0/30);63% (19/30);177;25;25 weeks;-;-;63% (5/8);12,66;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40% (12/30);27% (8/30);-;-;80% (8/10);75% (9/12);89% (8/9);42% (5/12);25% (3/12);33% (4/12);0% (0/12);17% (2/12);70% (7/10)
RV3;CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST;261;261;100%;261;56;103;21% (54/261);23% (61/261);21% (55/261);21% (55/261);10% (25/261);4% (11/261);27% (71/261);72% (189/261);0% (1/261);0% (0/261);66% (173/261);9% (24/261);8% (21/261);5% (12/261);10% (25/261);2% (6/261);0% (0/261);9% (24/261);22% (58/261);3% (7/261);23% (60/261);3% (7/261);3% (8/261);7% (19/261);19% (49/261);1% (3/261);1% (3/261);9% (23/261);79% (207/261);0% (0/261);1% (2/261);3% (7/261);0% (0/261);2% (5/261);0% (0/261);5% (14/261);0% (0/261);10% (26/261);75% (196/261);66% (173/261);6% (15/261);2% (6/261);1% (2/261);23% (61/261);2% (4/261);43% (48/111);6% (7/111);0% (0/111);0% (0/111);0% (0/111);0% (0/111);1% (1/111);1% (1/111);1% (1/111);1% (1/111);5% (5/111);2% (4/261);0% (0/261);30% (78/261);1% (2/261);2% (6/261);13% (35/261);2% (6/261);0% (1/261);29% (75/261);8% (21/261);0% (0/261);2% (5/261);5% (13/261);5% (12/261);1% (3/261);22% (57/254);14% (35/254);19% (47/254);9% (23/254);30% (77/254);1% (3/254);0% (1/254);1% (3/254);3% (8/254);3% (7/261);0% (0/261);0% (0/261);2% (6/261);10% (26/261);9% (23/261);20% (53/261);23% (61/261);46% (104/225);12% (26/225);24% (54/225);14% (32/225);4% (9/225);54% (121/225);214;31;31 weeks;44% (24/54);50% (27/54);40% (47/117);24,31;53% (29/55);31% (17/55);36% (20/56);43% (24/56);29% (13/45);31% (14/45);40% (18/45);37% (13/35);11% (4/35);51% (18/35);32% (9/28);25% (7/28);43% (12/28);67% (2/3);0% (0/3);33% (1/3);73% (41/56);16% (9/56);76% (42/55);16% (9/55);50% (28/56);36% (20/56);73% (41/56);13% (7/56);68% (38/56);29% (16/56);55% (31/56);20% (11/56);77% (43/56);12.5% (7/56);55% (31/56);20% (11/56);70% (39/56);18% (10/56);62% (34/55);24% (13/55);59% (33/56);34% (19/56);46% (25/55);47% (26/55);15% (8/53);60% (32/53);67% (175/261);54% (142/261);57% (32/56);25% (14/56);84% (79/94);39% (40/103);90% (36/40);39% (40/103);28% (29/103);29% (30/103);4% (4/103);38% (39/103);61% (57/94)
RV5;SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST;90;72;80%;71;9;35;9% (6/71);24% (17/71);17% (12/71);13% (9/71);6% (4/71);32% (23/71);37% (26/71);63% (45/71);0% (0/71);0% (0/71);48% (34/71);1% (1/71);11% (8/71);6% (4/71);7% (5/71);27% (19/71);0% (0/71);7% (5/71);7% (5/71);0% (0/71);3% (2/71);4% (3/71);30% (21/71);3% (2/71);7% (5/71);1% (1/71);0% (0/71);38% (27/71);52% (37/71);0% (0/71);0% (0/71);1% (1/71);0% (0/71);0% (0/71);0% (0/71);1% (1/71);0% (0/71);45% (32/71);27% (19/71);24% (17/71);3% (2/71);0% (0/71);0% (0/71);73% (52/71);0% (0/71);25% (4/16);25% (4/16);31% (5/16);31% (5/16);6% (1/16);13% (2/16);6% (1/16);6% (1/16);0% (0/16);0% (0/16);0% (0/16);1% (1/71);9% (6/71);16% (11/71);0% (0/71);4% (3/71);13% (9/71);21% (15/71);3% (2/71);6% (4/71);9% (6/71);10% (1/71);1% (1/71);6% (4/71);3% (2/71);0% (0/71);14% (10/71);9% (6/71);61% (43/71);9% (6/71);4% (3/71);3% (2/71);0% (0/71);1% (1/71);0% (0/71);0% (0/71);0% (0/71);0% (0/71);27% (19/71);45% (32/71);38% (27/71);6% (4/71);73% (52/71);45% (31/69);16% (11/69);32% (22/69);7% (5/69);0% (0/69);55% (38/69);175;25;25 weeks;44% (4/9);33% (3/9);68% (26/38);19,2;67% (6/9);11% (1/9);67% (6/9);22% (2/9);67% (4/6);17% (1/6);17% (1/6);33% (2/6);17% (1/6);50% (3/6);40% (2/5);0% (0/5);60% (3/5);0% (0/2);0% (0/2);100% (2/2);89% (8/9);0% (0/9);78% (7/9);22% (2/9);67% (6/9);11% (1/9);78% (7/9);11% (1/9);63% (5/8);13% (1/8);67% (6/9);11% (1/9);56% (5/9);11.1% (1/9);67% (6/9);22% (2/9);67% (6/9);11% (1/9);67% (6/9);11% (1/9);75% (6/8);13% (1/8);56% (5/9);33% (3/9);22% (2/9);56% (5/9);100% (71/71);90% (64/71);67% (6/9);11% (1/9);88% (29/33);66% (23/35);96% (22/23);26% (9/35);14% (5/35);60% (21/35);0% (0/35);26% (9/35);79% (26/33)
RVN;AVON AND WILTSHIRE MENTAL HEALTH NHS PARTNERSHIP TRUST;239;224;94%;186;16;55;15% (28/186);23% (42/186);17% (31/186);17% (31/186);12% (22/186);17% (32/186);28% (52/186);72% (134/186);0% (0/186);0% (0/186);97% (180/186);1% (2/186);0% (0/186);0% (0/186);1% (1/186);2% (3/186);0% (0/186);2% (3/186);10% (19/186);3% (5/186);35% (65/186);1% (2/186);20% (38/186);2% (3/186);3% (6/186);1% (1/186);0% (0/186);24% (44/186);68% (127/186);1% (1/186);1% (2/186);5% (9/186);1% (1/186);0% (0/186);1% (2/186);3% (5/186);0% (0/186);21% (39/186);31% (58/186);30% (56/186);1% (2/186);0% (0/186);0% (0/186);69% (128/186);0% (0/186);7% (10/142);4% (6/142);6% (9/142);1% (2/142);1% (2/142);0% (0/142);1% (1/142);1% (1/142);0% (0/142);0% (0/142);4% (5/142);5% (10/186);0% (0/186);17% (31/186);1% (2/186);4% (7/186);10% (18/186);4% (8/186);1% (2/186);32% (59/186);9% (16/186);1% (2/186);1% (2/186);3% (6/186);10% (19/186);2% (4/186);14% (25/177);5% (9/177);21% (37/177);10% (17/177);29% (51/177);3% (5/177);1% (1/177);8% (14/177);10% (18/177);5% (9/186);0% (0/186);0% (0/186);2% (3/186);21% (39/186);24% (44/186);63% (118/186);69% (128/186);73% (122/167);13% (21/167);8% (14/167);5% (9/167);1% (1/167);27% (45/167);106;15;15 weeks;60% (9/15);33% (5/15);27% (18/66);20,51;80% (12/15);7% (1/15);63% (10/16);13% (2/16);70% (7/10);10% (1/10);20% (2/10);44% (4/9);0% (0/9);56% (5/9);50% (3/6);0% (0/6);50% (3/6);0% (0/0);0% (0/0);0% (0/0);88% (14/16);6% (1/16);69% (11/16);19% (3/16);73% (11/15);20% (3/15);81% (13/16);6% (1/16);69% (11/16);25% (4/16);88% (14/16);6% (1/16);67% (10/15);0% (0/15);60% (9/15);20% (3/15);75% (12/16);19% (3/16);75% (12/16);19% (3/16);69% (11/16);31% (5/16);63% (10/16);31% (5/16);31% (5/16);56% (9/16);23% (42/185);12% (22/186);88% (14/16);6% (1/16);98% (54/55);67% (37/55);84% (31/37);42% (23/55);9% (5/55);47% (26/55);2% (1/55);36% (20/55);64% (35/55)
RW4;MERSEY CARE NHS FOUNDATION TRUST;43;8;19%;4;0;11;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;100% (3/3);0% (0/3);0% (0/3);0% (0/3);0% (0/3);0% (0/3);25;4;4 weeks;-;-;67% (2/3);18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0% (0/4);0% (0/4);-;-;100% (10/10);46% (5/11);100% (5/5);36% (4/11);0% (0/11);64% (7/11);0% (0/11);64% (7/11);91% (10/11)
RW5;LANCASHIRE CARE NHS FOUNDATION TRUST;30;30;100%;28;0;16;14% (4/28);18% (5/28);14% (4/28);14% (4/28);21% (6/28);18% (5/28);25% (7/28);75% (21/28);0% (0/28);0% (0/28);93% (26/28);0% (0/28);0% (0/28);7% (2/28);0% (0/28);0% (0/28);0% (0/28);7% (2/28);14% (4/28);0% (0/28);18% (5/28);0% (0/28);11% (3/28);7% (2/28);36% (10/28);0% (0/28);0% (0/28);7% (2/28);96% (27/28);0% (0/28);4% (1/28);0% (0/28);0% (0/28);0% (0/28);0% (0/28);0% (0/28);0% (0/28);0% (0/28);68% (19/28);64% (18/28);0% (0/28);4% (1/28);0% (0/28);21% (6/28);11% (3/28);0% (0/11);0% (0/11);0% (0/11);9% (1/11);0% (0/11);0% (0/11);0% (0/11);0% (0/11);0% (0/11);0% (0/11);0% (0/11);11% (3/28);0% (0/28);14% (4/28);11% (3/28);4% (1/28);21% (6/28);4% (1/28);0% (0/28);18% (5/28);0% (0/28);0% (0/28);0% (0/28);4% (1/28);14% (4/28);0% (0/28);7% (2/28);32% (9/28);4% (1/28);4% (1/28);18% (5/28);4% (1/28);4% (1/28);21% (6/28);7% (2/28);0% (0/28);0% (0/28);0% (0/28);0% (0/28);0% (0/28);7% (2/28);36% (10/28);21% (6/28);60% (12/20);20% (4/20);10% (2/20);5% (1/20);5% (1/20);40% (8/20);204;29;29 weeks;-;-;67% (4/6);13,31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54% (15/28);21% (6/28);-;-;100% (16/16);63% (10/16);100% (10/10);63% (10/16);0% (0/16);38% (6/16);0% (0/16);63% (10/16);75% (12/16)
RWK;EAST LONDON NHS FOUNDATION TRUST;190;189;99%;181;95;47;17% (31/181);17% (31/181);7% (13/181);17% (31/181);10% (18/181);32% (57/181);33% (60/181);67% (120/181);0% (0/181);1% (1/181);72% (131/181);6% (11/181);12% (21/181);8% (14/181);1% (2/181);1% (2/181);0% (0/181);3% (6/181);14% (25/181);1% (2/181);17% (31/181);2% (4/181);30% (55/181);3% (5/181);11% (20/181);1% (2/181);0% (0/181);17% (31/181);82% (148/181);0% (0/181);1% (2/181);2% (3/181);1% (1/181);1% (1/181);3% (5/181);2% (4/181);0% (0/181);9% (17/181);51% (92/181);48% (87/181);2% (4/181);1% (1/181);0% (0/181);49% (88/181);1% (1/181);14% (17/120);13% (15/120);13% (15/120);7% (8/120);3% (3/120);3% (4/120);2% (2/120);2% (2/120);0% (0/120);2% (2/120);2% (2/120);1% (2/181);1% (1/181);27% (49/181);1% (2/181);4% (8/181);24% (43/181);3% (5/181);1% (1/181);14% (26/181);7% (12/181);0% (1/181);1% (1/181);2% (3/181);13% (24/181);2% (4/181);21% (35/171);12% (20/171);26% (45/171);10% (17/171);23% (39/171);0% (0/171);0% (0/171);6% (11/171);2% (4/171);6% (10/181);0% (0/181);1% (1/181);1% (2/181);9% (17/181);17% (31/181);40% (73/181);49% (88/181);64% (110/172);17% (29/172);16% (27/172);4% (6/172);0% (0/172);36% (62/172);119;17;17 weeks;67% (60/90);20% (18/90);68% (52/76);12,02;70% (62/89);16% (14/89);57% (54/94);23% (22/94);75% (42/56);14% (8/56);11% (6/56);58% (26/45);11% (5/45);31% (14/45);58% (19/33);6% (2/33);36% (12/33);63% (5/8);0% (0/8);38% (3/8);87% (81/93);9% (8/93);87% (81/93);9% (8/93);75% (68/91);18% (16/91);97% (91/94);2% (2/94);81% (76/94);9% (8/94);81% (75/93);7% (6/93);78% (72/92);6.5% (6/92);79% (70/89);9% (8/89);82% (77/94);10% (9/94);81% (75/93);15% (14/93);83% (78/94);12% (11/94);68% (64/94);23% (22/94);10% (9/92);82% (75/92);57% (102/180);38% (68/181);85% (80/94);7% (7/94);84% (38/45);62% (29/47);97% (28/29);53% (25/47);4% (2/47);40% (19/47);2% (1/47);43% (20/47);61% (27/44)
